DPD90_12m;customer_type;product_type_zart;product_type_nyilt;onero;age_of_asset (honap);sales_channel_dealer;sales_channel_hitelpont;sales_channel_hiteliroda;Nace_low;Nace_medium;Nace_high
0;1;1;0;0,982665917;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;2,285552042;0;0;1;0;0;1
0;1;1;0;-0,474429725;1,225702131;1;0;0;0;1;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,271572965;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;0,872418828;0;0;1;1;0;0
0;0;1;0;3,487986378;-0,540714387;1;0;0;1;0;0
0;1;1;0;0,115986061;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,219547747;1;0;0;0;1;0
0;1;1;0;-0,474429725;1,161468804;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;2,299261547;-0,155314419;1;0;0;1;0;0
0;1;1;0;-0,211584195;2,285552042;1;0;0;0;1;0
0;1;1;0;1,804354197;-0,540714387;1;0;0;0;1;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;0;1;0;1,073438398;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;2,414018698;1;0;0;1;0;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;2,381902034;0;1;0;0;0;1
0;1;1;0;2,079828942;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;0;1
0;1;1;0;0,17597483;1,193585467;1;0;0;1;0;0
0;1;1;0;0,176764156;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,263755643;0,069502229;1;0;0;0;1;0
0;1;1;0;-0,000834175;0,743952172;1;0;0;0;1;0
1;0;1;0;0,117564712;1,514752107;0;1;0;0;0;1
0;1;1;0;-1,164300577;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,023724627;1,225702131;0;0;1;0;1;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,700087239;-0,540714387;0;1;0;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
1;1;1;0;-0,474429725;2,285552042;1;0;0;1;0;0
0;1;1;0;-0,721488738;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,130283626;-0,540714387;1;0;0;1;0;0
0;1;1;0;-1,197452266;-0,540714387;1;0;0;1;0;0
0;0;1;0;1,77672779;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;1,065118812;1;0;0;1;0;0
0;1;1;0;-1,263755643;3,088468641;1;0;0;0;1;0
0;1;1;0;-0,587303332;0,8081855;0;0;1;0;1;0
0;1;1;0;-0,474429725;0,64760218;0;0;1;0;1;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,039497384;-0,540714387;1;0;0;1;0;0
0;1;1;0;1,104222109;-0,540714387;1;0;0;0;0;1
0;1;1;0;-0,079766767;1,868035411;0;0;1;0;1;0
0;1;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;1;1;0;0,347258554;-0,540714387;1;0;0;0;0;1
0;1;1;0;-0,211584195;1,450518779;0;0;1;1;0;0
0;1;1;0;-0,474429725;1,386285451;1;0;0;1;0;0
0;1;1;0;1,104222109;3,281168625;1;0;0;0;0;1
0;1;1;0;1,273137855;-0,540714387;1;0;0;1;0;0
0;0;1;0;-1,263755643;-0,540714387;1;0;0;0;0;1
0;1;1;0;-1,263755643;-0,540714387;0;1;0;1;0;0
0;0;1;0;-1,263755643;-0,540714387;1;0;0;0;1;0
0;0;1;0;-0,023724627;-0,540714387;1;0;0;1;0;0
0;1;1;0;-0,474429725;-0,540714387;1;0;0;0;1;0
0;1;1;0;-0,869092684;-0,540714387;1;0;0;0;0;1
0;1;1;0;1,667800814;0,294318877;0;1;0;1;0;0
0;1;1;0;-0,000834175;-0,155314419;0;0;1;1;0;0
